timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013464636513,-22,16,12,5,-5,-26,47,71
1013464636513,27,18,0,-2,-16,-16,-48,-31
1013464647813,18,0,-3,5,17,20,85,14
1013464647813,23,-6,-7,-5,-13,-21,40,10
1013464653280,-42,1,8,5,-24,1,30,-2
1013464653280,46,5,-1,8,30,10,-26,13
1013464669780,-50,11,6,-3,0,-31,-59,-9
1013464669780,-68,-8,-8,-9,3,21,-23,-58
1013464671266,49,17,1,4,5,-7,58,43
1013464671266,-52,-24,-5,0,2,36,59,52
1013464692000,2,1,-1,6,14,20,30,-59
1013464692000,42,25,10,7,-10,-20,-26,68
1013464693662,-6,-29,-19,-21,-15,23,-10,-102
1013464693662,-62,-1,-4,-17,-34,-39,-17,-60
1013464706477,53,-15,1,7,4,-16,-41,63
1013464706477,18,28,17,8,16,55,91,26
1013464713433,3,57,21,19,35,-14,110,62
1013464713433,24,-88,-21,-2,15,52,50,-33
1013464729671,-51,48,-17,-15,8,50,38,0
1013464729671,38,-23,-6,10,-18,-128,-83,-27
1013464731129,-80,-47,-13,-24,-8,66,-104,-38
1013464731129,-25,-9,1,0,-31,-67,60,10
1013464752162,-12,-19,4,20,21,70,51,10
1013464752162,-1,40,0,1,39,19,-128,-22
1013464753795,9,3,-10,-4,-4,-66,107,15
1013464753795,-47,21,8,-9,10,11,2,2
1013464766516,-55,-13,5,8,-22,-55,-61,-58
1013464766516,46,-8,8,-7,-43,-1,-89,-22
1013464773105,-2,19,5,23,50,52,-18,-1
1013464773105,-60,-70,-12,-32,-80,-60,-69,-63
1013464789726,88,47,13,-14,-36,-45,-49,23
1013464789726,-17,44,0,12,40,13,-27,15
1013464791110,-11,-16,-16,-24,-10,-128,-53,-58
1013464791110,38,-15,10,-3,-50,44,83,-11
1013464812193,-61,-27,-14,1,18,33,-79,-88
1013464812193,-15,-54,-46,-65,-79,-33,65,-17
1013464813608,14,58,23,62,105,103,90,108
1013464813608,46,-23,-18,-41,-65,-7,-40,14
1013464825870,69,11,8,25,46,39,127,51
1013464825870,-95,-94,-22,-12,7,67,-3,-31
1013464834712,92,98,31,-18,-78,-88,50,47
1013464834712,-1,-62,3,42,127,121,-41,-48
1013464849741,-45,72,-1,-33,-94,-128,-34,-11
1013464849741,-44,-28,3,17,19,60,-32,-2
1013464851177,47,20,0,18,80,127,25,-12
